# timestamp,user_a,user_b,rssi
1708200,504,341,-59
1708200,540,265,-57
1708200,559,64,-55
1708200,688,405,-55
1708200,700,207,-58
1708500,396,97,-54
1708500,470,96,-53
1708800,91,90,-58
1708800,470,96,-48
1708800,521,268,-41
1708800,559,204,-50
1708800,578,289,-57
1708800,688,405,-51
1708800,698,268,-44
1708800,700,207,-52
1709100,521,268,-42
1709400,504,341,-59
1709400,521,268,-43
1709400,688,405,-55
1709400,700,207,-58
1709700,91,90,-58
1709700,350,155,-56
1709700,470,96,-49
1709700,508,423,-56
1709700,521,268,-43
1709700,688,405,-51
1710000,91,90,-59
1710000,175,119,-58
1710000,301,300,-59
1710000,508,423,-46
1710000,521,268,-36
1710000,631,561,-58
1710300,175,119,-58
1710300,508,28,-57
1710300,508,423,-51
1710300,521,268,-47
1710600,213,170,-52
1710600,377,85,-49
1710600,377,106,-54
1710600,508,28,-59
1710600,508,423,-57
1710600,521,268,-47
1710600,559,453,-56
1710600,672,58,-58
1710900,91,90,-56
1710900,213,170,-52
1710900,521,268,-43
1710900,578,289,-54
1710900,688,405,-52
1711200,508,28,-58
1711200,508,423,-58
1711200,521,268,-42
1711200,572,558,-49
1711200,578,289,-58
1711200,598,176,-53
1711200,688,4,-53
1711500,301,300,-58
1711500,521,268,-48
1711500,578,289,-56
1711500,609,604,-55
1711500,672,106,-58
1711500,688,405,-59
1711800,350,155,-54
1711800,521,268,-48
1711800,559,453,-55
1711800,598,176,-57
1711800,609,604,-51
1712100,175,158,-57
1712100,521,268,-45
1712100,609,604,-52
1712400,396,97,-49
1712400,521,268,-47
1712400,557,419,-55
1712400,559,25,-35
1712400,609,604,-52
1712700,396,97,-58
1712700,521,268,-48
1712700,557,419,-53
1712700,609,604,-56
1713000,49,48,-59
1713000,224,140,-58
1713000,350,155,-54
1713000,396,97,-59
1713000,521,268,-46
1713300,49,48,-55
1713300,175,119,-52
1713300,224,140,-52
1713300,396,97,-57
1713300,453,64,-58
1713300,521,268,-46
1713300,557,419,-57
1713300,688,4,-57
1713600,111,80,-58
1713600,224,140,-58
1713600,263,221,-56
1713600,453,64,-49
1713600,521,268,-49
1713900,175,119,-55
1713900,453,64,-55
1713900,521,268,-42
1713900,543,403,-54
1713900,559,64,-35
1714200,224,140,-58
1714200,372,193,-57
1714200,453,64,-52
1714200,521,268,-43
1714200,543,403,-54
1714200,557,419,-47
1714200,688,405,-56
1714500,369,73,-59
1714500,396,97,-54
1714500,453,64,-52
